Metabolite,Reference,ID,DOI,tCr_u,tCr_std,IU_u,IU_std,mM_u,mM_std,Group,Tissue,Title,GM,GM_Std,WM,WM_Std,N_Total,Female,Male,Age,Age_Std
Cr,2018_egerton_23,7,10.1038/s41380-018-0082-9,0.0,0.0,6.4,0.48,6.4,0.48,Control,GM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.65,0.03,0.12,0.03,60.0,0.0,0.0,29.0,0
Cr,2018_egerton_23,8,10.1038/s41380-018-0082-9,0.0,0.0,5.06,0.37,5.06,0.37,Control,GM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.65,0.03,0.12,0.03,60.0,0.0,0.0,29.0,0
Cr,2018_egerton_23,9,10.1038/s41380-018-0082-9,0.0,0.0,5.23,0.3,5.23,0.3,Control,GM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.65,0.03,0.12,0.03,60.0,0.0,0.0,29.0,0
Cr,2018_egerton_23,10,10.1038/s41380-018-0082-9,0.0,0.0,7.11,0.42,7.11,0.42,Control,WM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.08,0.06,0.92,0.06,60.0,0.0,0.0,29.0,0
Cr,2018_egerton_23,11,10.1038/s41380-018-0082-9,0.0,0.0,5.4,0.6,5.4,0.6,Control,WM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.08,0.06,0.92,0.06,60.0,0.0,0.0,29.0,0
Cr,2018_egerton_23,12,10.1038/s41380-018-0082-9,0.0,0.0,4.83,0.13,4.83,0.13,Control,WM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.08,0.06,0.92,0.06,60.0,0.0,0.0,29.0,0
Cr,2018_egerton_23,1,10.1038/s41380-018-0082-9,0.0,0.0,6.48,0.45,6.48,0.45,Control,GM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.66,0.03,0.11,0.04,60.0,0.0,0.0,29.0,0
Cr,2018_egerton_23,2,10.1038/s41380-018-0082-9,0.0,0.0,5.07,0.37,5.07,0.37,Control,GM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.66,0.03,0.11,0.04,60.0,0.0,0.0,29.0,0
Cr,2018_egerton_23,3,10.1038/s41380-018-0082-9,0.0,0.0,5.22,0.25,5.22,0.25,Control,GM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.66,0.03,0.11,0.04,60.0,0.0,0.0,29.0,0
Cr,2018_egerton_23,4,10.1038/s41380-018-0082-9,0.0,0.0,7.17,0.57,7.17,0.57,Control,WM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.1,0.06,0.9,0.06,60.0,0.0,0.0,29.0,0
Cr,2018_egerton_23,5,10.1038/s41380-018-0082-9,0.0,0.0,5.34,0.3,5.34,0.3,Control,WM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.1,0.06,0.9,0.06,60.0,0.0,0.0,29.0,0
Cr,2018_egerton_23,6,10.1038/s41380-018-0082-9,0.0,0.0,4.91,0.22,4.91,0.22,Control,WM,Response to initial antipsychotic treatment in first episode psychosis is related to anterior cingulate glutamate levels: a multicentre (1)H-MRS study (OPTiMiSE).,0.1,0.06,0.9,0.06,60.0,0.0,0.0,29.0,0
Cr,2018_huber_225,3,10.1016/j.jad.2017.07.052,0.0,0.0,6.49,0.6,0.0,0.0,Control,GM,Relationship of executive functioning deficits to N-acetyl aspartate (NAA) and gamma-aminobutyric acid (GABA) in youth with bipolar disorder.,0.7020000000000001,0.031,0.0,0.0,10.0,5.0,5.0,19.0,1.56
Cr,2018_huber_225,4,10.1016/j.jad.2017.07.052,0.0,0.0,6.81,0.46,0.0,0.0,Control,GM,Relationship of executive functioning deficits to N-acetyl aspartate (NAA) and gamma-aminobutyric acid (GABA) in youth with bipolar disorder.,0.642,0.047,0.0,0.0,10.0,5.0,5.0,19.0,1.56
Cr,2019_bossong_76,1,10.1001/jamapsychiatry.2018.3252,0.0,0.0,7.42,1.1,7.42,1.1,Control,GM,Association of Hippocampal Glutamate Levels With Adverse Outcomes in Individuals at Clinical High Risk for Psychosis.,0.64,0.07,0.33,0.08,30.0,16.0,14.0,24.7,3.8
Cr,2019_davitz_50,9,10.1002/jmri.26718,0.0,0.0,5.9,1.5,5.9,1.5,Control,WM,Quantitative multivoxel proton MR spectroscopy for the identification of white matter abnormalities in mild traumatic brain injury: Comparison between regional and global analysis.,0.0,0.0,0.0,0.0,12.0,4.0,8.0,34.0,0
Cr,2019_davitz_50,10,10.1002/jmri.26718,0.0,0.0,4.8,1.0,4.8,1.0,Control,WM,Quantitative multivoxel proton MR spectroscopy for the identification of white matter abnormalities in mild traumatic brain injury: Comparison between regional and global analysis.,0.0,0.0,0.0,0.0,12.0,4.0,8.0,34.0,0
Cr,2019_pflugrad_14,12,10.1371/journal.pone.0221626,0.0,0.0,3.23,0.0,0.0,0.0,Control,WM,Cerebral metabolite alterations in patients with posttransplant encephalopathy after liver transplantation,0.0,0.0,0.0,0.0,20.0,14.0,6.0,47.8,10.8
Cr,2019_reid_45,1,10.1093/schbul/sbx190,0.0,0.0,2.39,0.22,0.0,0.0,Control,GM,7T Proton Magnetic Resonance Spectroscopy of the Anterior Cingulate Cortex in First-Episode Schizophrenia.,0.7140000000000001,0.078,0.254,0.077,21.0,5.0,16.0,23.5,4.5
Cr,2020_blest-hopley_25,2,10.1111/adb.12827,0.0,0.0,7.665,0.784,0.0,0.0,Control,GM,Adolescent-onset heavy cannabis use associated with significantly reduced glial but not neuronal markers and glutamate levels in the hippocampus.,0.6365,0.058,0.3099,0.098,21.0,12.0,9.0,24.24,4.11
Cr,2020_kumar_25,1,10.1038/s41380-018-0104-7,0.0,0.0,2.98,0.69,2.98,0.69,Control,GM,Glutathione and glutamate in schizophrenia: a 7T MRS study.,0.743,0.067,0.111,0.064,45.0,16.0,29.0,27.89,7.54
Cr,2020_kumar_25,2,10.1038/s41380-018-0104-7,0.0,0.0,2.6,0.39,2.6,0.39,Control,GM,Glutathione and glutamate in schizophrenia: a 7T MRS study.,0.637,0.046,0.285,0.051,45.0,16.0,29.0,27.89,7.54
Cr,2020_kumar_25,3,10.1038/s41380-018-0104-7,0.0,0.0,3.28,0.57,3.28,0.57,Control,GM,Glutathione and glutamate in schizophrenia: a 7T MRS study.,0.6759999999999999,0.051,0.226,0.085,45.0,16.0,29.0,27.89,7.54
Cr,2021_gajdosik_34,1,10.1002/nbm.4538,0.0,0.0,5.7,0.4,5.7,0.4,Healthy,GM,Hippocampal single-voxel MR spectroscopy with a long echo time at 3 T using semi-LASER sequence,0.659,0.023,0.289,0.036000000000000004,6.0,2.0,1.0,32.5,10.2
Cr,2021_gajdosik_34,2,10.1002/nbm.4538,0.0,0.0,5.9,0.3,5.9,0.3,Healthy,GM,Hippocampal single-voxel MR spectroscopy with a long echo time at 3 T using semi-LASER sequence,0.659,0.023,0.289,0.036000000000000004,6.0,1.0,2.0,32.5,10.2
Cr,2021_steinegger_26,1,10.1111/adb.13027,0.0,0.0,11.0,0.82,11.0,0.82,Control,GM,Neurometabolic alterations in the nucleus accumbens of smokers assessed with H-1 magnetic resonance spectroscopy: The role of glutamate and neuroinflammation,0.8075,0.058899999999999994,0.1925,0.058899999999999994,25.0,0.0,20.0,26.3,4.27
GABA,2017_marjanska_354,1,10.1016/j.neuroscience.2017.04.035,0.0,0.0,0.78,0.247,0.78,0.247,Control,GM,Region-specific aging of the human brain as evidenced by neurochemical profiles measured noninvasively in the posterior cingulate cortex and the occipital lobe using (1)H magnetic resonance spectroscopy at 7T.,0.61,0.041231,0.228,0.037108,17.0,10.0,7.0,21.0,1
GABA,2018_huber_225,3,10.1016/j.jad.2017.07.052,0.0,0.0,1.14,0.29,0.0,0.0,Control,GM,Relationship of executive functioning deficits to N-acetyl aspartate (NAA) and gamma-aminobutyric acid (GABA) in youth with bipolar disorder.,0.7020000000000001,0.031,0.0,0.0,10.0,5.0,5.0,19.0,1.56
GABA,2018_huber_225,4,10.1016/j.jad.2017.07.052,0.0,0.0,1.2,0.29,0.0,0.0,Control,GM,Relationship of executive functioning deficits to N-acetyl aspartate (NAA) and gamma-aminobutyric acid (GABA) in youth with bipolar disorder.,0.642,0.047,0.0,0.0,10.0,5.0,5.0,19.0,1.56
GABA,2018_marenco_43,1,10.1038/s41386-018-0134-5,0.096,0.009,0.001,0.0,0.0,0.0,Healthy,GM,Role of gamma-amino-butyric acid in the dorsal anterior cingulate in age-associated changes in cognition,0.6964,0.052199999999999996,0.0,0.0,229.0,127.0,102.0,29.98,9.16
GABA,2018_marenco_43,2,10.1038/s41386-018-0134-5,0.106,0.011,0.001,0.0,0.0,0.0,Healthy,WM,Role of gamma-amino-butyric acid in the dorsal anterior cingulate in age-associated changes in cognition,0.19870000000000002,0.0521,0.0,0.0,113.0,51.0,62.0,32.17,9.46
GABA,2018_prescot_43,1,10.1038/npp.2017.156,0.0,0.0,0.988,0.094,0.988,0.094,Healthy,GM,In Vivo Detection of CPP-115 Target Engagement in Human Brain.,0.62,0.05,0.38,0.05,6.0,0.0,6.0,34.2,16.8
GABA,2018_prescot_43,3,10.1038/npp.2017.156,0.0,0.0,0.81,0.023,0.81,0.023,Healthy,GM,In Vivo Detection of CPP-115 Target Engagement in Human Brain.,0.62,0.05,0.38,0.05,6.0,0.0,6.0,34.2,16.8
GABA,2018_prescot_43,5,10.1038/npp.2017.156,0.0,0.0,0.922,0.027,0.922,0.027,Healthy,GM,In Vivo Detection of CPP-115 Target Engagement in Human Brain.,0.62,0.05,0.38,0.05,6.0,0.0,6.0,34.2,16.8
GABA,2018_prescot_43,7,10.1038/npp.2017.156,0.0,0.0,0.932,0.01,0.932,0.01,Healthy,GM,In Vivo Detection of CPP-115 Target Engagement in Human Brain.,0.62,0.05,0.38,0.05,6.0,0.0,6.0,34.2,16.8
GABA,2018_prescot_43,9,10.1038/npp.2017.156,0.0,0.0,0.839,0.05,0.839,0.05,Healthy,GM,In Vivo Detection of CPP-115 Target Engagement in Human Brain.,0.61,0.06,0.39,0.06,6.0,0.0,6.0,34.2,16.8
GABA,2018_prescot_43,11,10.1038/npp.2017.156,0.0,0.0,1.475,0.092,1.475,0.092,Healthy,GM,In Vivo Detection of CPP-115 Target Engagement in Human Brain.,0.61,0.06,0.39,0.06,6.0,0.0,6.0,34.2,16.8
GABA,2018_prescot_43,13,10.1038/npp.2017.156,0.0,0.0,1.381,0.223,1.381,0.223,Healthy,GM,In Vivo Detection of CPP-115 Target Engagement in Human Brain.,0.61,0.06,0.39,0.06,6.0,0.0,6.0,34.2,16.8
GABA,2018_prescot_43,15,10.1038/npp.2017.156,0.0,0.0,0.94,0.015,0.94,0.015,Healthy,GM,In Vivo Detection of CPP-115 Target Engagement in Human Brain.,0.61,0.06,0.39,0.06,6.0,0.0,6.0,34.2,16.8
GABA,2018_sheth_276,3,10.1016/j.pscychresns.2018.04.004,0.0,0.0,0.37,0.03,0.0,0.0,Control,GM,Alterations in anterior cingulate cortex myoinositol and aggression in veterans with suicidal behavior: A proton magnetic resonance spectroscopy study.,0.7021999999999999,0.03,0.2978,0.03,24.0,5.0,19.0,36.2,9.7
GABA,2018_sheth_276,4,10.1016/j.pscychresns.2018.04.004,0.0,0.0,0.34,0.01,0.0,0.0,Control,GM,Alterations in anterior cingulate cortex myoinositol and aggression in veterans with suicidal behavior: A proton magnetic resonance spectroscopy study.,0.6139,0.043,0.3861,0.043,24.0,5.0,19.0,36.2,9.7
GABA,2018_tiwari_80,1,10.1002/mrm.27142,0.0,0.0,0.8,0.06,0.8,0.06,Healthy,GM,Distinction of the GABA 2.29ppm resonance using triple refocusing at 3 T in vivo.,0.61,0.03,0.23,0.02,6.0,3.0,3.0,27.0,5
GABA,2018_tiwari_80,2,10.1002/mrm.27142,0.0,0.0,0.51,0.07,0.51,0.07,Healthy,WM,Distinction of the GABA 2.29ppm resonance using triple refocusing at 3 T in vivo.,0.16,0.05,0.81,0.08,6.0,3.0,3.0,27.0,5
GABA,2018_tiwari_80,3,10.1002/mrm.27142,0.0,0.0,0.87,0.06,0.87,0.06,Healthy,WM,Distinction of the GABA 2.29ppm resonance using triple refocusing at 3 T in vivo.,0.0,0.0,0.0,0.0,6.0,3.0,3.0,27.0,5
GABA,2018_tiwari_80,5,10.1002/mrm.27142,0.0,0.0,1.08,0.08,1.08,0.08,Healthy,GM,Distinction of the GABA 2.29ppm resonance using triple refocusing at 3 T in vivo.,0.0,0.0,0.0,0.0,6.0,3.0,3.0,27.0,5
GABA,2018_tiwari_80,6,10.1002/mrm.27142,0.0,0.0,0.46,0.03,0.46,0.03,Healthy,GM,Distinction of the GABA 2.29ppm resonance using triple refocusing at 3 T in vivo.,0.0,0.0,0.0,0.0,6.0,3.0,3.0,27.0,5
GABA,2019_chan_14,1,10.1371/journal.pone.0208666,0.0,0.0,3.308,0.325,0.0,0.0,Control,GM,Relating excitatory and inhibitory neurochemicals to visual perception: A magnetic resonance study of occipital cortex between migraine events,0.643,0.037,0.23,0.034,16.0,8.0,8.0,27.125,4.63
GABA,2019_duncan_50,1,10.1002/jmri.26706,0.0,0.0,5.5,0.4,0.0,0.0,Healthy,GM,Investigating GABA concentrations measured with macromolecule suppressed and unsuppressed MEGA-PRESS MR spectroscopy and their relationship with BOLD responses in the occipital cortex.,0.65,0.03,0.25,0.03,31.0,5.0,26.0,23.0,3.1
GABA,2019_duncan_50,3,10.1002/jmri.26706,0.0,0.0,2.9,0.6,0.0,0.0,Healthy,GM,Investigating GABA concentrations measured with macromolecule suppressed and unsuppressed MEGA-PRESS MR spectroscopy and their relationship with BOLD responses in the occipital cortex.,0.65,0.03,0.25,0.03,31.0,5.0,26.0,23.0,3.1
GABA,2019_ferland_237,1,10.1007/s00221-019-05691-z,0.049,0.016,0.834,0.239,0.834,0.239,Healthy,WM,Longitudinal assessment of (1)H-MRS (GABA and Glx) and TMS measures of cortical inhibition and facilitation in the sensorimotor cortex.,0.22399999999999998,0.04,0.743,0.048,10.0,5.0,5.0,26.0,4
GABA,2019_ferland_237,2,10.1007/s00221-019-05691-z,0.05,0.015,0.888,0.254,0.888,0.254,Healthy,WM,Longitudinal assessment of (1)H-MRS (GABA and Glx) and TMS measures of cortical inhibition and facilitation in the sensorimotor cortex.,0.22399999999999998,0.052000000000000005,0.742,0.057999999999999996,10.0,5.0,5.0,26.0,4
GABA,2019_hong_14,1,10.1371/journal.pone.0223702,0.13,0.06,0.0,0.0,0.0,0.0,Healthy,WM,A comparison of sLASER and MEGA-sLASER using simultaneous interleaved acquisition for measuring GABA in the human brain at 7T.,0.275,0.0575,0.685,0.061900000000000004,12.0,3.0,9.0,29.33,4.49
GABA,2019_hong_14,4,10.1371/journal.pone.0223702,0.28,0.03,0.0,0.0,0.0,0.0,Healthy,GM,A comparison of sLASER and MEGA-sLASER using simultaneous interleaved acquisition for measuring GABA in the human brain at 7T.,0.7817000000000001,0.0504,0.17170000000000002,0.0634,12.0,3.0,9.0,29.33,4.49
GABA,2019_hong_14,5,10.1371/journal.pone.0223702,0.26,0.09,0.0,0.0,0.0,0.0,Healthy,GM,A comparison of sLASER and MEGA-sLASER using simultaneous interleaved acquisition for measuring GABA in the human brain at 7T.,0.6967,0.058899999999999994,0.20170000000000002,0.09449999999999999,12.0,3.0,9.0,29.33,4.49
GABA,2019_hong_14,6,10.1371/journal.pone.0223702,0.25,0.05,0.0,0.0,0.0,0.0,Healthy,GM,A comparison of sLASER and MEGA-sLASER using simultaneous interleaved acquisition for measuring GABA in the human brain at 7T.,0.6733,0.0689,0.2433,0.10890000000000001,12.0,3.0,9.0,29.33,4.49
GABA,2019_hong_14,7,10.1371/journal.pone.0223702,0.07,0.03,0.0,0.0,0.0,0.0,Healthy,WM,A comparison of sLASER and MEGA-sLASER using simultaneous interleaved acquisition for measuring GABA in the human brain at 7T.,0.275,0.0575,0.685,0.061900000000000004,12.0,3.0,9.0,29.33,4.49
GABA,2019_hong_14,10,10.1371/journal.pone.0223702,0.19,0.04,0.0,0.0,0.0,0.0,Healthy,GM,A comparison of sLASER and MEGA-sLASER using simultaneous interleaved acquisition for measuring GABA in the human brain at 7T.,0.7817000000000001,0.0504,0.17170000000000002,0.0634,12.0,3.0,9.0,29.33,4.49
GABA,2019_hong_14,11,10.1371/journal.pone.0223702,0.18,0.04,0.0,0.0,0.0,0.0,Healthy,GM,A comparison of sLASER and MEGA-sLASER using simultaneous interleaved acquisition for measuring GABA in the human brain at 7T.,0.6967,0.058899999999999994,0.20170000000000002,0.09449999999999999,12.0,3.0,9.0,29.33,4.49
GABA,2019_hong_14,12,10.1371/journal.pone.0223702,0.18,0.03,0.0,0.0,0.0,0.0,Healthy,GM,A comparison of sLASER and MEGA-sLASER using simultaneous interleaved acquisition for measuring GABA in the human brain at 7T.,0.6733,0.0689,0.2433,0.10890000000000001,12.0,3.0,9.0,29.33,4.49
GABA,2019_mikkelsen_191,1,10.1016/j.neuroimage.2019.02.059,0.0,0.0,3.33,0.2,0.0,0.0,Healthy,GM,Big GABA II: Water-referenced edited MR spectroscopy at 25 research sites.,0.6,0.05,0.26,0.04,12.0,7.0,5.0,23.92,4.81
GABA,2019_mikkelsen_191,3,10.1016/j.neuroimage.2019.02.059,0.0,0.0,2.92,0.26,0.0,0.0,Healthy,GM,Big GABA II: Water-referenced edited MR spectroscopy at 25 research sites.,0.6,0.03,0.29,0.02,7.0,2.0,5.0,23.43,5.47
GABA,2019_mikkelsen_191,4,10.1016/j.neuroimage.2019.02.059,0.0,0.0,3.31,0.39,0.0,0.0,Healthy,GM,Big GABA II: Water-referenced edited MR spectroscopy at 25 research sites.,0.6,0.03,0.28,0.02,12.0,6.0,6.0,25.58,4.48
GABA,2019_mikkelsen_191,5,10.1016/j.neuroimage.2019.02.059,0.0,0.0,2.96,0.2,0.0,0.0,Healthy,GM,Big GABA II: Water-referenced edited MR spectroscopy at 25 research sites.,0.65,0.05,0.26,0.01,12.0,5.0,7.0,25.5,3.73
GABA,2019_mikkelsen_191,10,10.1016/j.neuroimage.2019.02.059,0.0,0.0,3.3,0.37,0.0,0.0,Healthy,GM,Big GABA II: Water-referenced edited MR spectroscopy at 25 research sites.,0.6,0.03,0.27,0.04,12.0,6.0,6.0,25.08,3.23
GABA,2019_mikkelsen_191,14,10.1016/j.neuroimage.2019.02.059,0.0,0.0,3.03,0.25,0.0,0.0,Healthy,GM,Big GABA II: Water-referenced edited MR spectroscopy at 25 research sites.,0.63,0.03,0.27,0.02,8.0,3.0,5.0,23.13,2.36
GABA,2019_mikkelsen_191,16,10.1016/j.neuroimage.2019.02.059,0.0,0.0,3.1,0.22,0.0,0.0,Healthy,GM,Big GABA II: Water-referenced edited MR spectroscopy at 25 research sites.,0.63,0.03,0.27,0.03,12.0,6.0,6.0,23.58,3.73
GABA,2019_mikkelsen_191,17,10.1016/j.neuroimage.2019.02.059,0.0,0.0,3.59,0.33,0.0,0.0,Healthy,GM,Big GABA II: Water-referenced edited MR spectroscopy at 25 research sites.,0.61,0.04,0.28,0.03,12.0,5.0,7.0,23.25,1.96
GABA,2019_mikkelsen_191,23,10.1016/j.neuroimage.2019.02.059,0.0,0.0,4.28,0.48,0.0,0.0,Healthy,GM,Big GABA II: Water-referenced edited MR spectroscopy at 25 research sites.,0.61,0.03,0.29,0.02,12.0,6.0,6.0,27.67,2.77
GABA,2019_mikkelsen_191,30,10.1016/j.neuroimage.2019.02.059,0.0,0.0,4.4,0.61,0.0,0.0,Healthy,GM,Big GABA II: Water-referenced edited MR spectroscopy at 25 research sites.,0.6,0.05,0.26,0.04,12.0,7.0,5.0,23.92,4.81
GABA,2019_mikkelsen_191,33,10.1016/j.neuroimage.2019.02.059,0.0,0.0,2.95,0.93,0.0,0.0,Healthy,GM,Big GABA II: Water-referenced edited MR spectroscopy at 25 research sites.,0.6,0.03,0.28,0.02,12.0,6.0,6.0,25.58,4.48
GABA,2019_mikkelsen_191,34,10.1016/j.neuroimage.2019.02.059,0.0,0.0,2.23,0.54,0.0,0.0,Healthy,GM,Big GABA II: Water-referenced edited MR spectroscopy at 25 research sites.,0.65,0.05,0.26,0.01,12.0,5.0,7.0,25.5,3.73
GABA,2019_mikkelsen_191,39,10.1016/j.neuroimage.2019.02.059,0.0,0.0,3.47,0.33,0.0,0.0,Healthy,GM,Big GABA II: Water-referenced edited MR spectroscopy at 25 research sites.,0.6,0.03,0.27,0.04,12.0,6.0,6.0,25.08,3.23
GABA,2019_mikkelsen_191,43,10.1016/j.neuroimage.2019.02.059,0.0,0.0,2.61,0.32,0.0,0.0,Healthy,GM,Big GABA II: Water-referenced edited MR spectroscopy at 25 research sites.,0.63,0.03,0.27,0.02,8.0,3.0,5.0,23.13,2.36
GABA,2019_mikkelsen_191,45,10.1016/j.neuroimage.2019.02.059,0.0,0.0,2.87,0.55,0.0,0.0,Healthy,GM,Big GABA II: Water-referenced edited MR spectroscopy at 25 research sites.,0.63,0.03,0.27,0.03,12.0,6.0,6.0,23.58,3.73
GABA,2019_mikkelsen_191,46,10.1016/j.neuroimage.2019.02.059,0.0,0.0,5.7,0.4,0.0,0.0,Healthy,GM,Big GABA II: Water-referenced edited MR spectroscopy at 25 research sites.,0.61,0.04,0.28,0.03,12.0,5.0,7.0,23.25,1.96
GABA,2019_mikkelsen_191,52,10.1016/j.neuroimage.2019.02.059,0.0,0.0,3.22,0.55,0.0,0.0,Healthy,GM,Big GABA II: Water-referenced edited MR spectroscopy at 25 research sites.,0.61,0.03,0.29,0.02,12.0,6.0,6.0,27.67,2.77
GABA,2019_reid_45,1,10.1093/schbul/sbx190,0.0,0.0,0.93,0.18,0.0,0.0,Control,GM,7T Proton Magnetic Resonance Spectroscopy of the Anterior Cingulate Cortex in First-Episode Schizophrenia.,0.7140000000000001,0.078,0.254,0.077,21.0,5.0,16.0,23.5,4.5
GABA,2019_sheth_248,3,10.1016/j.jad.2019.01.037,0.19,0.05,2.1,0.0,0.0,0.0,Control,GM,Reduced gamma-amino butyric acid (GABA) and glutamine in the anterior cingulate cortex (ACC) of veterans exposed to trauma.,0.703,0.03,0.297,0.037000000000000005,28.0,4.0,24.0,35.4,8.6
GABA,2019_strasser_29,1,10.1016/j.euroneuro.2018.12.015,0.0,0.0,2.22,0.53,2.22,0.53,Healthy,GM,Nucleus accumbens neurochemistry in human anxiety: A 7T H-1-MRS study,0.85,0.04,0.12,0.05,38.0,0.0,38.0,25.0,20-30
GABA,2019_wang_76,6,10.1001/jamapsychiatry.2018.3637,0.0,0.0,1.72,0.15,0.0,0.0,Control,GM,Assessing Brain Metabolism With 7-T Proton Magnetic Resonance Spectroscopy in Patients With First-Episode Psychosis.,0.725,0.12,0.17,0.09,91.0,49.0,42.0,23.3,3.9
GABA,2019_wang_76,7,10.1001/jamapsychiatry.2018.3637,0.0,0.0,1.65,0.22,0.0,0.0,Control,WM,Assessing Brain Metabolism With 7-T Proton Magnetic Resonance Spectroscopy in Patients With First-Episode Psychosis.,0.1,0.12,0.88,0.14,91.0,49.0,42.0,23.3,3.9
GABA,2019_wang_76,9,10.1001/jamapsychiatry.2018.3637,0.0,0.0,1.5,0.23,0.0,0.0,Control,WM,Assessing Brain Metabolism With 7-T Proton Magnetic Resonance Spectroscopy in Patients With First-Episode Psychosis.,0.27,0.15,0.75,0.11,91.0,49.0,42.0,23.3,3.9
